cik,gvkey,conm,DATADATE1,DATADATE2,SOURCE,coname,FNDATE,LNDATE,N10K,N10K_NT,N10K_A,N10Q,N10Q_NT,N10Q_A,NDEF,N8K,NTOT,FLAG
0001105841,137110,CLICKSOFTWARE TECHNOLOGIES,31DEC1998,31DEC2014,COMPN,CLICKSOFTWARE TECHNOLOGIES LTD,14FEB2000,11FEB2016,7,0,2,20,1,5,4,16,409,3
0001105841,137110,CLICKSOFTWARE TECHNOLOGIES,31DEC1998,31DEC2014,COMPN,CLICKSOFTWARE TECHNOLOGIES LTD,14FEB2000,11FEB2016,7,0,2,20,1,5,4,16,409,3
0001108185,137130,OCCAM NETWORKS INC,31DEC1998,31DEC2009,COMPN,OCCAM NETWORKS INC/DE,03MAR2000,10FEB2012,16,3,3,36,2,2,19,104,649,3
0001108185,137130,OCCAM NETWORKS INC,31DEC1998,31DEC2009,COMPN,OCCAM NETWORKS INC/DE,03MAR2000,10FEB2012,16,3,3,36,2,2,19,104,649,3
0001100682,137131,CHARLES RIVER LABS INTL INC,31DEC1998,31DEC2018,COMPN,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",08DEC1999,07FEB2020,22,0,2,59,0,0,55,169,1801,2
0001100682,137131,CHARLES RIVER LABS INTL INC,31DEC1998,31DEC2018,COMPN,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",08DEC1999,07FEB2020,22,0,2,59,0,0,55,169,1801,2
0001100682,137131,CHARLES RIVER LABS INTL INC,31DEC1998,31DEC2018,COMPN,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",08DEC1999,07FEB2020,22,0,2,59,0,0,55,169,1801,2
0000043052,137132,FULL MOON UNIVERSE INC,31DEC1997,31DEC2000,COMPN,FULL MOON UNIVERSE INC,14NOV1997,09JUL2012,6,2,0,15,4,0,1,10,37,3
0000043052,137132,FULL MOON UNIVERSE INC,31DEC1997,31DEC2000,COMPN,FULL MOON UNIVERSE INC,14NOV1997,09JUL2012,6,2,0,15,4,0,1,10,37,3
0001094032,137136,24/7 KID DOC INC,30JUN2000,31DEC2014,COMPN,"24/7 KID DOC, INC.",07SEP1999,15AUG2019,30,11,3,81,19,11,2,20,202,3
0001094032,137136,24/7 KID DOC INC,30JUN2000,31DEC2014,COMPN,"24/7 KID DOC, INC.",07SEP1999,15AUG2019,30,11,3,81,19,11,2,20,202,3
0001094032,137136,24/7 KID DOC INC,30JUN2000,31DEC2014,COMPN,"24/7 KID DOC, INC.",07SEP1999,15AUG2019,30,11,3,81,19,11,2,20,202,3
0001094032,137136,24/7 KID DOC INC,30JUN2000,31DEC2014,COMPN,"24/7 KID DOC, INC.",07SEP1999,15AUG2019,30,11,3,81,19,11,2,20,202,3
0000940298,137137,MANUFACTURERS SERVICES LTD,31DEC1995,31DEC2002,COMPN,MANUFACTURERS SERVICES LTD,04FEB2000,26MAR2004,3,0,0,11,0,0,8,24,112,3
0001085115,137141,RAINFOREST RESOURCES INC,31DEC2000,31DEC2005,COMPN,"BIOCHEM SOLUTIONS, INC.",03MAY1999,24MAY2007,12,4,1,33,7,3,4,11,72,2
0001085115,137141,RAINFOREST RESOURCES INC,31DEC2000,31DEC2005,COMPN,"BIOCHEM SOLUTIONS, INC.",03MAY1999,24MAY2007,12,4,1,33,7,3,4,11,72,2
0001085115,137141,RAINFOREST RESOURCES INC,31DEC2000,31DEC2005,COMPN,"BIOCHEM SOLUTIONS, INC.",03MAY1999,24MAY2007,12,4,1,33,7,3,4,11,72,2
0001085115,137141,RAINFOREST RESOURCES INC,31DEC2000,31DEC2005,COMPN,"BIOCHEM SOLUTIONS, INC.",03MAY1999,24MAY2007,12,4,1,33,7,3,4,11,72,2
0001085115,137141,RAINFOREST RESOURCES INC,31DEC2000,31DEC2005,COMPN,"BIOCHEM SOLUTIONS, INC.",03MAY1999,24MAY2007,12,4,1,33,7,3,4,11,72,2
0000929651,137150,J B WILLIAMS HOLDINGS INC,31DEC1994,31DEC2000,COMPN,WILLIAMS J B HOLDINGS INC,15MAY1996,02AUG2001,5,0,0,16,0,0,0,2,24,2
0001029336,137170,ATRIUM CO INC,31DEC1998,31DEC2003,COMPN,ATRIUM COMPANIES INC,21JAN1997,14NOV2005,10,1,2,25,1,0,0,55,103,3
0001099941,137230,MVC CAPITAL INC,31OCT2002,31OCT2019,COMPN,"MVC CAPITAL, INC.",07DEC1999,22JAN2020,24,2,3,66,6,1,50,112,841,3
0001099941,137230,MVC CAPITAL INC,31OCT2002,31OCT2019,COMPN,"MVC CAPITAL, INC.",07DEC1999,22JAN2020,24,2,3,66,6,1,50,112,841,3
0001099941,137230,MVC CAPITAL INC,31OCT2002,31OCT2019,COMPN,"MVC CAPITAL, INC.",07DEC1999,22JAN2020,24,2,3,66,6,1,50,112,841,3
0001094026,137250,ART ADVANCED RESEARCH TECH,30APR1999,31DEC2008,COMPN,ART ADVANCED RESEARCH TECHNOLOGIES INC,23MAY2002,10SEP2008,0,0,0,0,0,0,0,0,106,3
0001107050,137252,CLICK COMMERCE INC,31DEC1998,31DEC2005,COMPN,CLICK COMMERCE INC,16FEB2000,14FEB2007,8,1,1,19,0,0,8,45,263,3
0001111721,137292,STRATOS INTERNATIONAL INC,30APR1999,30APR2007,COMPN,STRATOS INTERNATIONAL INC,14APR2000,23JUL2007,10,0,3,24,0,3,15,53,344,3
0001111721,137292,STRATOS INTERNATIONAL INC,30APR1999,30APR2007,COMPN,STRATOS INTERNATIONAL INC,14APR2000,23JUL2007,10,0,3,24,0,3,15,53,344,3
0001058057,137310,MARVELL TECHNOLOGY GROUP LTD,31JAN1999,31JAN2019,COMPN,MARVELL TECHNOLOGY GROUP LTD,23MAR2000,07FEB2020,23,2,2,66,7,2,36,256,1543,3
0001108134,137351,BERKSHIRE HILLS BANCORP INC,31DEC1999,31DEC2019,COMPN,BERKSHIRE HILLS BANCORP INC,10MAR2000,04FEB2020,21,0,2,60,0,1,27,350,1358,3
0001110794,137357,GENUITY INC,31DEC1995,31DEC2001,COMPN,GENUITY INC,07APR2000,05SEP2013,3,0,1,8,0,0,3,48,102,3
0001163747,137370,AMERICAN BANK INC/PA,31DEC2001,31DEC2018,COMPN,AMERICAN BANK INC,20DEC2001,06SEP2007,7,0,1,17,0,1,8,25,233,3
0001091325,137371,CHINA YIDA HOLDING CO,31DEC2007,31DEC2015,COMPN,"CHINA YIDA HOLDING, CO.",21JUL1999,20JUL2016,33,5,11,67,11,6,23,72,386,3
0001091325,137371,CHINA YIDA HOLDING CO,31DEC2007,31DEC2015,COMPN,"CHINA YIDA HOLDING, CO.",21JUL1999,20JUL2016,33,5,11,67,11,6,23,72,386,3
0001091325,137371,CHINA YIDA HOLDING CO,31DEC2007,31DEC2015,COMPN,"CHINA YIDA HOLDING, CO.",21JUL1999,20JUL2016,33,5,11,67,11,6,23,72,386,3
0001009759,137373,CAPSTONE TURBINE CORP,31DEC1998,31MAR2019,COMPN,CAPSTONE TURBINE CORP,22MAR2000,03JAN2020,20,1,0,61,0,2,36,197,1220,3
0001108782,137374,CARESCIENCE INC,31DEC1998,31DEC2002,COMPN,CARESCIENCE INC,14MAR2000,17FEB2004,4,0,1,10,0,0,2,6,85,3
0001116284,137377,EXFO INC,31AUG1998,31AUG2019,COMPN,EXFO INC.,09JUN2000,23JAN2020,0,0,0,0,0,0,0,0,305,3
0001116284,137377,EXFO INC,31AUG1998,31AUG2019,COMPN,EXFO INC.,09JUN2000,23JAN2020,0,0,0,0,0,0,0,0,305,3
0001107257,137378,FIRST SHARES BANCORP INC,31DEC2001,31DEC2003,COMPN,FIRST SHARES BANCORP INC,02MAR2000,03AUG2004,4,0,0,12,0,0,5,6,59,3
0001069563,137390,DEFENSE INDUSTRIES INTL INC,31DEC2000,31DEC2010,COMPN,DEFENSE INDUSTRIES INTERNATIONAL INC,27MAR2000,15OCT2018,28,9,9,60,11,13,3,59,233,3
0001069563,137390,DEFENSE INDUSTRIES INTL INC,31DEC2000,31DEC2010,COMPN,DEFENSE INDUSTRIES INTERNATIONAL INC,27MAR2000,15OCT2018,28,9,9,60,11,13,3,59,233,3
0001101147,137394,VIRAGE INC,31MAR1996,31MAR2003,COMPN,VIRAGE INC,07FEB2000,12FEB2004,4,0,1,10,0,0,10,5,102,3
0001110418,137430,IDI GLOBAL INC,31DEC2000,31DEC2007,COMPN,IDI GLOBAL INC,07APR2000,07MAY2014,15,3,4,45,11,8,0,12,89,3
0001110418,137430,IDI GLOBAL INC,31DEC2000,31DEC2007,COMPN,IDI GLOBAL INC,07APR2000,07MAY2014,15,3,4,45,11,8,0,12,89,3
0001101396,137432,DELTA APPAREL INC,30JUN1999,30SEP2019,COMPN,"DELTA APPAREL, INC",30DEC1999,07FEB2020,21,1,1,59,0,1,27,166,841,3
0001101396,137432,DELTA APPAREL INC,30JUN1999,30SEP2019,COMPN,"DELTA APPAREL, INC",30DEC1999,07FEB2020,21,1,1,59,0,1,27,166,841,3
0001115837,137433,MOBILE TELESYSTEMS PJSC,31DEC1999,31DEC2018,COMPN,MOBILE TELESYSTEMS PJSC,28JAN2002,05FEB2020,0,0,0,0,0,0,0,1,921,3
0001115837,137433,MOBILE TELESYSTEMS PJSC,31DEC1999,31DEC2018,COMPN,MOBILE TELESYSTEMS PJSC,28JAN2002,05FEB2020,0,0,0,0,0,0,0,1,921,3
0001075656,137434,IGO INC,31DEC1998,31DEC2018,COMPN,"IGO, INC.",11FEB2000,25APR2014,18,0,4,46,2,3,14,120,725,3
0001075656,137434,IGO INC,31DEC1998,31DEC2018,COMPN,"IGO, INC.",11FEB2000,25APR2014,18,0,4,46,2,3,14,120,725,3
0001110646,137435,NETEASE INC,31DEC1998,31DEC2018,COMPN,"NETEASE, INC.",03MAY2002,06SEP2019,0,0,0,0,0,0,0,0,253,3
0001110646,137435,NETEASE INC,31DEC1998,31DEC2018,COMPN,"NETEASE, INC.",03MAY2002,06SEP2019,0,0,0,0,0,0,0,0,253,3
0001110646,137435,NETEASE INC,31DEC1998,31DEC2018,COMPN,"NETEASE, INC.",03MAY2002,06SEP2019,0,0,0,0,0,0,0,0,253,3
0001075658,137436,STORAGENETWORKS INC,31DEC1998,31DEC2002,COMPN,STORAGENETWORKS INC,01MAR2000,10FEB2004,3,0,0,10,0,0,4,5,110,3
0001101026,137441,ZIVO BIOSCIENCE INC,31DEC2012,31DEC2018,COMPN,"ZIVO BIOSCIENCE, INC.",20APR2000,07JAN2020,31,10,3,78,12,9,20,101,498,3
0001101026,137441,ZIVO BIOSCIENCE INC,31DEC2012,31DEC2018,COMPN,"ZIVO BIOSCIENCE, INC.",20APR2000,07JAN2020,31,10,3,78,12,9,20,101,498,3
0001101026,137441,ZIVO BIOSCIENCE INC,31DEC2012,31DEC2018,COMPN,"ZIVO BIOSCIENCE, INC.",20APR2000,07JAN2020,31,10,3,78,12,9,20,101,498,3
0001111553,137470,PRECISE SOFTWARE SOLUTIONS,31DEC1995,31DEC2002,COMPN,PRECISE SOFTWARE SOLUTIONS LTD,14AUG2000,13FEB2004,5,0,2,9,0,0,2,5,105,3
0001069680,137511,MINDSET INTERACTIVE CORP,31DEC2000,31DEC2001,COMPN,"HANNOVER HOUSE, INC.",30DEC1999,03DEC2015,7,3,1,19,4,1,2,13,67,2
0001069680,137511,MINDSET INTERACTIVE CORP,31DEC2000,31DEC2001,COMPN,"HANNOVER HOUSE, INC.",30DEC1999,03DEC2015,7,3,1,19,4,1,2,13,67,2
0001069680,137511,MINDSET INTERACTIVE CORP,31DEC2000,31DEC2001,COMPN,"HANNOVER HOUSE, INC.",30DEC1999,03DEC2015,7,3,1,19,4,1,2,13,67,2
0001082594,137512,ENABLETS INC,31DEC2000,31DEC2009,COMPN,"VERIDIGM, INC.",30DEC1999,31JUL2008,14,6,0,42,16,2,6,23,135,2
0001082594,137512,ENABLETS INC,31DEC2000,31DEC2009,COMPN,"VERIDIGM, INC.",30DEC1999,31JUL2008,14,6,0,42,16,2,6,23,135,2
0001082594,137512,ENABLETS INC,31DEC2000,31DEC2009,COMPN,"VERIDIGM, INC.",30DEC1999,31JUL2008,14,6,0,42,16,2,6,23,135,2
0001082594,137512,ENABLETS INC,31DEC2000,31DEC2009,COMPN,"VERIDIGM, INC.",30DEC1999,31JUL2008,14,6,0,42,16,2,6,23,135,2
0001115911,137530,ICON MEDIA HOLDINGS INC,31DEC1999,31DEC2005,COMPN,SUPER ENERGY INVESTMENTS CORP,21JUN2000,14NOV2005,6,2,1,17,5,1,1,5,59,2
0001115911,137530,ICON MEDIA HOLDINGS INC,31DEC1999,31DEC2005,COMPN,SUPER ENERGY INVESTMENTS CORP,21JUN2000,14NOV2005,6,2,1,17,5,1,1,5,59,2
0001107710,137531,DUTCHFORK BANCSHARES INC,30SEP1999,30SEP2003,COMPN,DUTCHFORK BANCSHARES INC,08MAR2000,07OCT2004,7,1,2,14,0,1,6,14,78,3
0001097516,137572,DIVINE INC  -CL A,31DEC1999,31DEC2001,COMPN,DIVINE INC,15DEC1999,23SEP2010,3,0,1,8,0,0,4,54,186,3
0001097516,137572,DIVINE INC  -CL A,31DEC1999,31DEC2001,COMPN,DIVINE INC,15DEC1999,23SEP2010,3,0,1,8,0,0,4,54,186,3
0001101302,137573,ENTEGRIS INC,31AUG1999,31DEC2019,COMPN,ENTEGRIS INC,23DEC1999,07FEB2020,22,3,0,62,1,3,20,182,1782,3
0001117064,137576,INFOVISTA SA,30JUN1998,30JUN2006,COMPN,INFOVISTA SA,15FEB2001,08JAN2010,0,0,0,0,0,0,0,0,87,3
0001095963,137577,INTERNETARRAY INC,30JUN2003,31DEC2011,COMPN,US MEDSYS CORP,01OCT1999,15MAR2007,16,8,3,33,12,1,2,16,122,2
0001095963,137577,INTERNETARRAY INC,30JUN2003,31DEC2011,COMPN,US MEDSYS CORP,01OCT1999,15MAR2007,16,8,3,33,12,1,2,16,122,2
0001076235,137579,XAIBE INC,30JUN1999,30JUN2001,COMPN,XAIBE INC,14OCT1999,21FEB2006,7,1,3,12,5,0,0,6,29,3
0001102384,137600,ASAT HOLDINGS LTD  -ADR,30APR1999,30APR2008,COMPN,ASAT HOLDINGS LTD,03OCT2000,10SEP2015,0,0,0,0,0,0,0,0,182,3
0001113232,137602,AXCELIS TECHNOLOGIES INC,31DEC1998,31DEC2019,COMPN,AXCELIS TECHNOLOGIES INC,05MAY2000,07FEB2020,29,1,9,60,0,2,28,136,1037,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001084983,137608,GREM USA,31DEC1999,31DEC2007,COMPN,GREM USA,08MAY2000,13SEP2012,17,6,3,49,15,8,5,24,143,3
0001121142,137609,MAXAR TECHNOLOGIES INC,31DEC1998,31DEC2018,COMPN,MAXAR TECHNOLOGIES INC.,01MAR2017,07FEB2020,1,0,0,2,0,0,4,16,185,3
0001121142,137609,MAXAR TECHNOLOGIES INC,31DEC1998,31DEC2018,COMPN,MAXAR TECHNOLOGIES INC.,01MAR2017,07FEB2020,1,0,0,2,0,0,4,16,185,3
0001121142,137609,MAXAR TECHNOLOGIES INC,31DEC1998,31DEC2018,COMPN,MAXAR TECHNOLOGIES INC.,01MAR2017,07FEB2020,1,0,0,2,0,0,4,16,185,3
0001121142,137609,MAXAR TECHNOLOGIES INC,31DEC1998,31DEC2018,COMPN,MAXAR TECHNOLOGIES INC.,01MAR2017,07FEB2020,1,0,0,2,0,0,4,16,185,3
0001734107,137611,SOHU COM LTD,31DEC1998,31DEC2018,COMPN,SOHU.COM LTD,02APR2018,07FEB2020,0,0,0,0,0,0,0,1,41,3
0001071321,137612,TURKCELL ILETISIM HIZMET,31DEC1998,31DEC2018,COMPN,TURKCELL ILETISIM HIZMETLERI A S,14FEB2001,15JAN2020,0,0,0,0,0,0,0,0,914,3
0001110903,137641,NETWORK ENGINES INC,30SEP1998,30SEP2011,COMPN,NETWORK ENGINES INC,07APR2000,13FEB2013,13,0,1,39,0,2,22,118,539,3
0001069530,137642,CASSAVA SCIENCES INC,31DEC1998,31DEC2018,COMPN,CASSAVA SCIENCES INC,14MAR2000,07FEB2020,22,0,3,58,0,0,21,142,900,3
0001069530,137642,CASSAVA SCIENCES INC,31DEC1998,31DEC2018,COMPN,CASSAVA SCIENCES INC,14MAR2000,07FEB2020,22,0,3,58,0,0,21,142,900,3
0001104017,137662,I-MANY INC,31DEC1998,31DEC2008,COMPN,I MANY INC,13MAR2000,17JUL2009,13,0,4,28,1,0,45,95,581,3
0000907152,137667,SRTI BLOCKCHAIN GEN INC,31DEC1998,31DEC2011,COMPN,SUNRISE TELECOM INC,09MAR2000,12JUL2010,15,4,1,38,11,0,6,82,334,2
0001050250,137668,TRITON NETWORK SYSTEMS INC,31DEC1997,31DEC2001,COMPN,TRITON NETWORK SYSTEMS INC,01MAR2000,18AUG2006,3,0,1,7,1,0,1,12,50,3
0001106851,137704,OMNIVISION TECHNOLOGIES INC,30APR1999,30APR2015,COMPN,OMNIVISION TECHNOLOGIES INC,08MAR2000,09FEB2017,16,0,1,51,0,4,30,136,1217,3
0001097504,137705,POWER INTERACTIVE MEDIA INC,31DEC1999,31JUL2001,COMPN,POWER INTERACTIVE MEDIA INC,22OCT1999,13NOV2002,6,3,1,15,6,0,0,4,47,3
0001097504,137705,POWER INTERACTIVE MEDIA INC,31DEC1999,31JUL2001,COMPN,POWER INTERACTIVE MEDIA INC,22OCT1999,13NOV2002,6,3,1,15,6,0,0,4,47,3
0001097504,137705,POWER INTERACTIVE MEDIA INC,31DEC1999,31JUL2001,COMPN,POWER INTERACTIVE MEDIA INC,22OCT1999,13NOV2002,6,3,1,15,6,0,0,4,47,3
0001112880,137801,ARGONAUT TECHNOLOGIES INC,31DEC1995,31DEC2004,COMPN,ARGONAUT TECHNOLOGIES INC,27APR2000,13FEB2006,9,1,3,16,0,1,8,26,178,3
0001022974,137803,DECODE GENETICS INC,31DEC1997,31DEC2008,COMPN,DGI RESOLUTION INC,08MAR2000,07JUL2010,17,2,6,33,1,4,9,110,398,2
0001022974,137803,DECODE GENETICS INC,31DEC1997,31DEC2008,COMPN,DGI RESOLUTION INC,08MAR2000,07JUL2010,17,2,6,33,1,4,9,110,398,2
0001105542,137861,AIRSPAN NETWORKS INC,31DEC1998,31DEC2008,COMPN,AIRSPAN NETWORKS INC,11APR2000,25OCT2018,12,1,2,27,0,1,11,87,446,3
0001111001,137864,CORIO INC,30SEP1996,31DEC2003,COMPN,CORIO INC,21APR2000,14FEB2006,6,0,2,14,0,0,20,25,151,3
0001084031,137865,INTEGRATED ENVIRO TECH LTD,31DEC2011,31DEC2015,COMPN,"INTEGRATED ENVIRONMENTAL TECHNOLOGIES, LTD.",09JUN1999,16MAY2017,32,4,11,82,14,16,8,117,431,3
0001084031,137865,INTEGRATED ENVIRO TECH LTD,31DEC2011,31DEC2015,COMPN,"INTEGRATED ENVIRONMENTAL TECHNOLOGIES, LTD.",09JUN1999,16MAY2017,32,4,11,82,14,16,8,117,431,3
0001084031,137865,INTEGRATED ENVIRO TECH LTD,31DEC2011,31DEC2015,COMPN,"INTEGRATED ENVIRONMENTAL TECHNOLOGIES, LTD.",09JUN1999,16MAY2017,32,4,11,82,14,16,8,117,431,3
0001108320,137874,SMTC CORP,31DEC1999,31DEC2018,COMPN,SMTC CORP,24MAR2000,16AUG2019,30,3,8,66,2,6,25,173,771,3
0001046832,137881,RAINDANCE COMMUNICATIONS INC,31DEC1998,31DEC2005,COMPN,RAINDANCE COMMUNICATIONS INC,18FEB2000,06FEB2007,7,0,1,17,0,0,16,25,223,3
0001046832,137881,RAINDANCE COMMUNICATIONS INC,31DEC1998,31DEC2005,COMPN,RAINDANCE COMMUNICATIONS INC,18FEB2000,06FEB2007,7,0,1,17,0,0,16,25,223,3
0001046832,137881,RAINDANCE COMMUNICATIONS INC,31DEC1998,31DEC2005,COMPN,RAINDANCE COMMUNICATIONS INC,18FEB2000,06FEB2007,7,0,1,17,0,0,16,25,223,3
0001043082,137883,VARIAGENICS INC,31DEC1995,31DEC2001,COMPN,VARIAGENICS INC,29MAR2000,10FEB2004,2,0,0,8,0,0,2,6,68,3
0000813716,137884,CIRTRAN CORP,31DEC2000,31DEC2013,COMPN,CIRTRAN CORP,30MAY2000,19NOV2019,47,15,16,110,39,20,4,73,335,3
0000813716,137884,CIRTRAN CORP,31DEC2000,31DEC2013,COMPN,CIRTRAN CORP,30MAY2000,19NOV2019,47,15,16,110,39,20,4,73,335,3
0001109116,137943,ENTRAVISION COMMUNICATIONS,31DEC1998,31DEC2018,COMPN,ENTRAVISION COMMUNICATIONS CORP,21APR2000,04FEB2020,21,2,0,59,1,0,21,169,944,3
0001114700,137944,GRUPO FINANCIERO GALICIA SA,31DEC2001,31DEC2018,COMPN,GRUPO FINANCIERO GALICIA SA,12FEB2001,17JAN2020,0,0,0,0,0,0,0,0,518,3
0001111938,137960,APW LTD,31AUG1995,31AUG2002,COMPN,APW LTD,01MAY2000,11FEB2003,7,2,2,12,1,4,2,18,81,3
0001077814,138000,BLUE MARTINI SOFTWARE INC,31DEC1998,31DEC2004,COMPN,BLUE MARTINI SOFTWARE INC,02MAY2000,15FEB2006,6,0,1,14,0,0,10,25,149,3
0001052667,138002,CHILES OFFSHORE INC,31DEC1997,31DEC2001,COMPN,CHILES OFFSHORE INC/NEW/,19JUN1998,21JUL2004,5,0,2,10,0,1,2,2,54,3
0001052667,138002,CHILES OFFSHORE INC,31DEC1997,31DEC2001,COMPN,CHILES OFFSHORE INC/NEW/,19JUN1998,21JUL2004,5,0,2,10,0,1,2,2,54,3
0001117089,138003,GEMINI GENOMICS PLC  -ADR,31MAR1996,31MAR2001,COMPN,GEMINI GENOMICS PLC,14JUL2000,20SEP2001,0,0,0,0,0,0,0,0,17,3
0001085586,138004,INTERLAND INC-OLD,31DEC1997,31DEC2000,COMPN,INTERLAND INC,15MAR2000,14FEB2007,2,0,1,4,0,0,11,2,110,3
0001105503,138005,LEXENT INC,31DEC1995,31DEC2002,COMPN,LEXENT INC,18FEB2000,18FEB2004,3,0,0,11,0,0,7,24,83,3
0001111312,138121,APPLIED MOLECULAR EVOLUTION,31DEC1995,31DEC2002,COMPN,"CYTOCORE, INC.",12MAY2000,29JUN2006,3,0,0,12,0,1,4,10,103,2
0001111312,138121,APPLIED MOLECULAR EVOLUTION,31DEC1995,31DEC2002,COMPN,"CYTOCORE, INC.",12MAY2000,29JUN2006,3,0,0,12,0,1,4,10,103,2
0001080709,138122,ARENA PHARMACEUTICALS INC,31DEC1998,31DEC2018,COMPN,ARENA PHARMACEUTICALS INC,28APR2000,05FEB2020,21,0,2,58,0,0,27,315,1195,3
0001113148,138123,DISCOVERY PARTNERS INTL INC,31DEC1998,31DEC2005,FDATE,"INFINITY PHARMACEUTICALS, INC.",09MAY2000,13JAN2020,20,0,1,61,0,3,25,223,1031,2
0001113148,138123,DISCOVERY PARTNERS INTL INC,31DEC1998,31DEC2005,FDATE,"INFINITY PHARMACEUTICALS, INC.",09MAY2000,13JAN2020,20,0,1,61,0,3,25,223,1031,2
0001095471,138124,GUILDMASTER INC,30JUN2000,30JUN2011,COMPN,DECORIZE INC,29SEP1999,12FEB2009,16,1,6,35,1,7,7,51,224,2
0001095471,138124,GUILDMASTER INC,30JUN2000,30JUN2011,COMPN,DECORIZE INC,29SEP1999,12FEB2009,16,1,6,35,1,7,7,51,224,2
0001024623,138125,INTRALINKS INC -REDH,31DEC2003,31DEC2004,COMPN,INTRALINKS INC,22JUL1999,14FEB2013,0,0,0,0,0,0,0,0,21,3
0001114220,138126,KERYX BIOPHARMACEUTICALS INC,31DEC1998,31DEC2017,COMPN,KERYX BIOPHARMACEUTICALS INC,19MAY2000,26DEC2018,21,0,3,58,0,2,24,199,993,3
0001114220,138126,KERYX BIOPHARMACEUTICALS INC,31DEC1998,31DEC2017,COMPN,KERYX BIOPHARMACEUTICALS INC,19MAY2000,26DEC2018,21,0,3,58,0,2,24,199,993,3
0001017174,138127,MAINSPRING INC,31DEC1996,31DEC2000,COMPN,MAINSPRING INC,11FEB2000,13FEB2002,2,0,1,3,0,0,2,1,34,3
0001017174,138127,MAINSPRING INC,31DEC1996,31DEC2000,COMPN,MAINSPRING INC,11FEB2000,13FEB2002,2,0,1,3,0,0,2,1,34,3
0001056421,138129,RITA MEDICAL SYSTEMS INC,31DEC1996,31DEC2005,COMPN,RITA MEDICAL SYSTEMS INC,03MAY2000,08JUN2007,9,1,2,20,0,0,6,92,338,3
0001114040,138131,VALICERT INC,31DEC1996,31DEC2002,COMPN,VALICERT INC,15MAY2000,11JUL2003,4,0,1,10,0,1,2,4,69,3
0000918944,138143,MEDIANEWS GROUP INC,30JUN1998,30JUN2007,COMPN,MEDIANEWS GROUP INC,20MAY1996,26OCT2016,17,0,5,36,0,0,2,38,136,3
0000918944,138143,MEDIANEWS GROUP INC,30JUN1998,30JUN2007,COMPN,MEDIANEWS GROUP INC,20MAY1996,26OCT2016,17,0,5,36,0,0,2,38,136,3
0001108511,138181,TYCOM LTD,30SEP1995,30SEP2000,COMPN,TYCOM LTD,10MAR2000,18DEC2001,1,0,0,4,0,0,4,0,26,3
0001094895,138201,SOAPSTONE NETWORKS INC,31DEC1997,31DEC2008,COMPN,SOAPSTONE NETWORKS INC.,18MAY2000,31DEC2012,10,0,1,30,1,0,11,89,387,3
0001094895,138201,SOAPSTONE NETWORKS INC,31DEC1997,31DEC2008,COMPN,SOAPSTONE NETWORKS INC.,18MAY2000,31DEC2012,10,0,1,30,1,0,11,89,387,3
0001113099,138203,GENENCOR INTL INC,31DEC1995,31DEC2004,COMPN,GENENCOR INTERNATIONAL INC,05MAY2000,21DEC2010,5,0,0,14,0,0,4,18,159,3
0001110803,138205,ILLUMINA INC,31DEC1998,31DEC2019,COMPN,"ILLUMINA, INC.",03APR2000,16JAN2020,22,0,3,61,1,2,73,219,2880,3
0001110803,138205,ILLUMINA INC,31DEC1998,31DEC2019,COMPN,"ILLUMINA, INC.",03APR2000,16JAN2020,22,0,3,61,1,2,73,219,2880,3
0001045739,138210,CLOUDWARD INC,31DEC1998,31DEC2009,COMPN,"ETELOS, INC.",18APR2000,25MAY2012,18,4,5,39,6,6,8,74,352,2
0001045739,138210,CLOUDWARD INC,31DEC1998,31DEC2009,COMPN,"ETELOS, INC.",18APR2000,25MAY2012,18,4,5,39,6,6,8,74,352,2
0001109705,138309,STYLECLICK INC  -CL A,31DEC1996,31DEC2001,COMPN,STYLECLICK INC,24MAR2000,26MAR2003,3,0,1,8,0,0,2,14,41,3
0000789356,138321,CALIFORNIA PIZZA KITCHEN INC,31DEC1998,31DEC2010,COMPN,"CALIFORNIA PIZZA KITCHEN, INC.",25MAY2000,14FEB2012,16,1,4,32,0,0,19,128,558,3
0000789356,138321,CALIFORNIA PIZZA KITCHEN INC,31DEC1998,31DEC2010,COMPN,"CALIFORNIA PIZZA KITCHEN, INC.",25MAY2000,14FEB2012,16,1,4,32,0,0,19,128,558,3
